TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
7,1,00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1,00:10,7.19,-8.04,32.21,36.39,63.79,1.02,1.02,1.02,-0.04,432.39
7,1,00:20,7.26,-8.77,32.2,36.31,63.79,0.18,0.18,0.18,-0.06,449.34
7,1,00:30,7.45,-10.2,32.2,36.21,63.79,0.63,0.63,0.63,-0.03,453.4
7,1,00:40,7.01,-10.39,32.16,36.08,63.41,0.09,0.09,0.09,-0.03,396.54
7,1,00:50,6.8,-1.4,32.01,36.06,51.24,0.04,0.04,0.04,-0.03,482.84
7,1,01:00,7.06,0.1,31.9,36.27,51.24,0.08,0.08,0.08,-0.05,509.87
7,1,01:10,7.11,-1.85,31.79,36.28,51.24,0.04,0.04,0.04,-0.07,477.24
7,1,01:20,6.98,-2.45,31.67,36.17,51.24,0.03,0.03,0.03,-0.03,444.35
7,1,01:30,6.98,-2.87,31.57,36.09,51.24,0.02,0.02,0.02,-0.08,438.44
7,1,01:40,7.48,-3.28,31.4,36,51.24,0.03,0.03,0.03,-0.03,511.65
7,1,01:50,7.32,-6.26,31.24,35.79,51.24,0.02,0.02,0.02,-0.06,458.47
7,1,02:00,7.36,-8.85,31.2,35.6,51.24,0.03,0.03,0.03,-0.03,432.56
7,1,02:10,7.22,-9.9,31.2,35.4,51.24,0.04,0.04,0.04,-0.07,418.92
7,1,02:20,7.44,-7.58,31.2,35.35,51.24,0.06,0.06,0.06,-0.06,473.3
7,1,02:30,8.02,-7.13,31.2,35.34,51.24,0.85,0.85,0.85,-0.08,544.96
7,1,02:40,7.86,-7.88,31.13,35.29,43.99,1.31,1.31,1.31,-0.09,509.4
7,1,02:50,7.64,-8.6,31.09,35.24,38.71,1.43,1.43,1.43,-0.06,475.97
7,1,03:00,7.58,-7.84,31.1,35.23,38.71,1.28,1.28,1.28,-0.08,505.8
7,1,03:10,7.49,-6.73,31.2,35.31,38.68,1.18,1.18,1.18,-0.06,515.69
7,1,03:20,7.24,-6.6,31.2,35.41,38.68,1.22,1.22,1.22,-0.07,479.15
7,1,03:30,7.23,-5.89,31.2,35.45,38.68,0.5,0.5,0.5,-0.08,473.74
7,1,03:40,7.93,-8.46,31.1,35.51,38.68,0.98,0.98,0.98,-0.08,532.8
7,1,03:50,8.22,-9.13,31.09,35.31,35.05,2.22,2.22,2.22,-0.07,507.21
7,1,04:00,8.54,-8.2,31.02,35.14,26.2,6.41,6.41,6.41,-0.06,440.99
7,1,04:10,8.71,-8.25,31.01,35.01,26.17,7.21,7.21,7.21,-0.04,431.66
7,1,04:20,8.91,-4.26,31.09,34.99,26.17,9.71,9.71,9.71,-0.06,382.43
7,1,04:30,9.34,-0.77,31.15,35.07,26.17,10.12,10.12,10.12,-0.03,425.09
7,1,04:40,9.63,-3.12,31.2,35.03,26.17,10.47,10.47,10.47,-0.02,417.96
7,1,04:50,9.84,-2.56,31.2,34.99,26.17,10.95,10.95,10.95,-0.06,413.02
7,1,05:00,9.46,-2.41,31.2,34.9,26.17,10,10,10,-0.08,421.9
7,1,05:10,9.43,-2.77,31.2,34.84,26.17,9.47,9.47,9.47,-0.04,434.46
7,1,05:20,9.11,-3.67,31.2,34.79,26.17,8.31,8.31,8.31,-0.02,446.4
7,1,05:30,8.79,-2.48,31.19,34.85,26.17,7.53,7.53,7.53,-0.11,446.33
7,1,05:40,8.73,-4.82,31.2,34.94,26.17,6.73,6.73,6.73,-0.08,458.62
7,1,05:50,8.42,-9.49,31.2,34.8,26.17,5.3,5.3,5.3,-0.02,447.13
7,1,06:00,8.05,-10.5,31.15,34.79,26.17,5.52,5.52,5.52,-0.02,385.16
7,1,06:10,8.4,-5.5,31.08,34.78,14.96,7.27,7.27,7.27,-0.03,411.36
7,1,06:20,10.72,-9.75,30.78,34.58,11.2,11.01,11.01,11.01,-0.07,438.01
7,1,06:30,11.54,-6.44,30.59,34.2,1.12,13.37,13.37,13.37,-0.09,421.66
7,1,06:40,13.63,1.86,30.56,33.87,1.12,17.16,17.16,17.16,-0.06,445.44
7,1,07:00,13.35,0.02,30.46,33.43,1.12,16.95,16.95,16.95,-0.03,412.34
7,1,07:10,12.66,0.36,30.27,33.32,1.12,17.99,17.99,17.99,-0.02,351.78
7,1,07:20,12.72,4.63,30.12,33.29,1.12,14.96,14.96,14.96,-0.07,487.32
7,1,07:30,13.09,5.63,29.9,33.26,1.12,15.28,15.28,15.28,-0.08,481.24
7,1,07:40,13.36,4.99,29.45,33.12,1.12,14.16,14.16,14.16,-0.07,581.67
7,1,07:50,13.44,3.91,29.56,33.24,1.12,14.14,14.14,14.14,-0.06,597.99
7,1,08:00,13.21,4.28,29.54,33.41,1.12,13.24,13.24,13.24,-0.08,691.24
7,1,08:30,13.44,-2.55,29.68,33.9,1.08,11.23,11.23,11.23,-42.08,991.64
7,1,08:50,12.43,1.83,30.51,34.27,1.08,15.45,15.45,15.45,-7.6,508.81
7,1,09:00,11.94,2.3,30.82,34.59,1.08,14.51,14.51,14.51,72.23,522.45
7,1,09:10,12.8,-0.85,31.1,34.87,1.08,13.36,13.36,13.36,47.82,631.6
7,1,09:20,12.05,-0.45,31.31,35.09,1.08,15.64,15.64,15.64,14.74,456.37
7,1,09:30,12.83,1.09,31.49,35.34,1.08,8.96,8.96,8.96,43.25,1195.47
7,1,09:40,11.14,4.6,31.84,35.9,1.08,8.53,8.53,8.53,46.23,926.64
7,1,09:50,11.01,4.54,32.25,36.6,6.79,3.8,3.8,3.8,87.45,1288.37
7,1,10:00,11.43,-3.83,32.53,36.91,13.66,5.39,5.39,5.39,40.83,1135.75
